start_timestamp,end_timestamp,user_id,duration,start_time
1365112131,1365113895,u0,1764,2013-04-04 21:48:51
1365113915,1365114248,u0,333,2013-04-04 22:18:35
1365114469,1365115396,u0,927,2013-04-04 22:27:49
1365115657,1365117754,u0,2097,2013-04-04 22:47:37
1365120872,1365120973,u0,101,2013-04-05 00:14:32
1365121193,1365122595,u0,1402,2013-04-05 00:19:53
1365123025,1365124992,u0,1967,2013-04-05 00:50:25
1365125192,1365125697,u0,505,2013-04-05 01:26:32
1365125937,1365126179,u0,242,2013-04-05 01:38:57
1365127112,1365127172,u0,60,2013-04-05 01:58:32
1365127674,1365127915,u0,241,2013-04-05 02:07:54
1365129099,1365129603,u0,504,2013-04-05 02:31:39
1365131978,1365132332,u0,354,2013-04-05 03:19:38
1365132362,1365132977,u0,615,2013-04-05 03:26:02
1365133218,1365133813,u0,595,2013-04-05 03:40:18
1365134254,1365134395,u0,141,2013-04-05 03:57:34
1365134615,1365134716,u0,101,2013-04-05 04:03:35
1365135177,1365135268,u0,91,2013-04-05 04:12:57
1365136441,1365136501,u0,60,2013-04-05 04:34:01
1365138917,1365138988,u0,71,2013-04-05 05:15:17
1365170680,1365174225,u0,3545,2013-04-05 14:04:40
1365174225,1365174407,u0,182,2013-04-05 15:03:45
1365175118,1365178780,u0,3662,2013-04-05 15:18:38
1365179041,1365179252,u0,211,2013-04-05 16:24:01
1365182159,1365182229,u0,70,2013-04-05 17:15:59
1365219970,1365220050,u0,80,2013-04-06 03:46:10
1365220531,1365220682,u0,151,2013-04-06 03:55:31
1365220912,1365224109,u0,3197,2013-04-06 04:01:52
1365224320,1365226196,u0,1876,2013-04-06 04:58:40
1365226425,1365227323,u0,898,2013-04-06 05:33:45
1365227795,1365229978,u0,2183,2013-04-06 05:56:35
1365267933,1365269364,u0,1431,2013-04-06 17:05:33
1365269585,1365269655,u0,70,2013-04-06 17:33:05
1365269886,1365270118,u0,232,2013-04-06 17:38:06
1365270349,1365271296,u0,947,2013-04-06 17:45:49
1365271317,1365271710,u0,393,2013-04-06 18:01:57
1365271751,1365272678,u0,927,2013-04-06 18:09:11
1365272688,1365273061,u0,373,2013-04-06 18:24:48
1365273302,1365273392,u0,90,2013-04-06 18:35:02
1365273643,1365275085,u0,1442,2013-04-06 18:40:43
1365275336,1365275498,u0,162,2013-04-06 19:08:56
1365276230,1365276774,u0,544,2013-04-06 19:23:50
1365277015,1365277348,u0,333,2013-04-06 19:36:55
1365277548,1365278769,u0,1221,2013-04-06 19:45:48
1365279009,1365279665,u0,656,2013-04-06 20:10:09
1365280146,1365280227,u0,81,2013-04-06 20:29:06
1365280448,1365280821,u0,373,2013-04-06 20:34:08
