user_id,start_time,duration
u0,2013-04-07 20:00:00,0
u0,2013-04-07 21:00:00,3287
u0,2013-04-07 22:00:00,838
u0,2013-04-07 23:00:00,1311
u0,2013-04-08 00:00:00,1109
u0,2013-04-08 01:00:00,2770
u0,2013-04-08 02:00:00,2513
u0,2013-04-08 03:00:00,1825
u0,2013-04-08 04:00:00,940
u0,2013-04-08 05:00:00,71
u0,2013-04-08 06:00:00,101
u0,2013-04-08 07:00:00,0
u0,2013-04-08 08:00:00,0
u0,2013-04-08 09:00:00,0
u0,2013-04-08 10:00:00,0
u0,2013-04-08 11:00:00,0
u0,2013-04-08 12:00:00,0
u0,2013-04-08 13:00:00,0
u0,2013-04-08 14:00:00,404
u0,2013-04-08 15:00:00,3254
u0,2013-04-08 16:00:00,2541
u0,2013-04-08 17:00:00,1028
u0,2013-04-08 18:00:00,0
u0,2013-04-08 19:00:00,0
u0,2013-04-08 20:00:00,1492
u0,2013-04-08 21:00:00,7009
u0,2013-04-08 22:00:00,0
u0,2013-04-08 23:00:00,424
u0,2013-04-09 00:00:00,0
u0,2013-04-09 01:00:00,0
u0,2013-04-09 02:00:00,0
u0,2013-04-09 03:00:00,222
u0,2013-04-09 04:00:00,0
u0,2013-04-09 05:00:00,0
u0,2013-04-09 06:00:00,0
u0,2013-04-09 07:00:00,0
u0,2013-04-09 08:00:00,0
u0,2013-04-09 09:00:00,0
u0,2013-04-09 10:00:00,0
u0,2013-04-09 11:00:00,0
u0,2013-04-09 12:00:00,0
u0,2013-04-09 13:00:00,0
u0,2013-04-09 14:00:00,606
u0,2013-04-09 15:00:00,3427
u0,2013-04-09 16:00:00,262
u0,2013-04-09 17:00:00,0
u0,2013-04-09 18:00:00,4297
u0,2013-04-09 19:00:00,475
u0,2013-04-09 20:00:00,5032
u0,2013-04-09 21:00:00,3288
u0,2013-04-09 22:00:00,1643
u0,2013-04-09 23:00:00,5657
u0,2013-04-10 00:00:00,0
u0,2013-04-10 01:00:00,504
u0,2013-04-10 02:00:00,242
u0,2013-04-10 03:00:00,0
u0,2013-04-10 04:00:00,0
u0,2013-04-10 05:00:00,0
u0,2013-04-10 06:00:00,0
u0,2013-04-10 07:00:00,0
u0,2013-04-10 08:00:00,0
u0,2013-04-10 09:00:00,0
u0,2013-04-10 10:00:00,0
u0,2013-04-10 11:00:00,0
u0,2013-04-10 12:00:00,0
u0,2013-04-10 13:00:00,0
u0,2013-04-10 14:00:00,2800
u0,2013-04-10 15:00:00,4328
u0,2013-04-10 16:00:00,0
u0,2013-04-10 17:00:00,101
u0,2013-04-10 18:00:00,1371
u0,2013-04-10 19:00:00,244
u0,2013-04-10 20:00:00,2229
u0,2013-04-10 21:00:00,6947
u0,2013-04-10 22:00:00,0
u0,2013-04-10 23:00:00,0
u0,2013-04-11 00:00:00,464
u0,2013-04-11 01:00:00,5343
u0,2013-04-11 02:00:00,0
u0,2013-04-11 03:00:00,2249
u0,2013-04-11 04:00:00,30
u0,2013-04-11 05:00:00,374
u0,2013-04-11 06:00:00,987
u0,2013-04-11 07:00:00,0
u0,2013-04-11 08:00:00,0
u0,2013-04-11 09:00:00,0
u0,2013-04-11 10:00:00,0
u0,2013-04-11 11:00:00,0
u0,2013-04-11 12:00:00,0
u0,2013-04-11 13:00:00,0
u0,2013-04-11 14:00:00,0
u0,2013-04-11 15:00:00,313
u0,2013-04-11 16:00:00,3801
u0,2013-04-11 17:00:00,4288
u0,2013-04-11 18:00:00,0
u0,2013-04-11 19:00:00,3348
u0,2013-04-11 20:00:00,2692
u0,2013-04-11 21:00:00,6687
u0,2013-04-11 22:00:00,151
u0,2013-04-11 23:00:00,211
u0,2013-04-12 00:00:00,0
u0,2013-04-12 01:00:00,1462
u0,2013-04-12 02:00:00,404
u0,2013-04-12 03:00:00,0
u0,2013-04-12 04:00:00,0
u0,2013-04-12 05:00:00,0
u0,2013-04-12 06:00:00,0
u0,2013-04-12 07:00:00,0
u0,2013-04-12 08:00:00,0
u0,2013-04-12 09:00:00,0
u0,2013-04-12 10:00:00,0
u0,2013-04-12 11:00:00,0
u0,2013-04-12 12:00:00,0
u0,2013-04-12 13:00:00,0
u0,2013-04-12 14:00:00,3144
u0,2013-04-12 15:00:00,329
u0,2013-04-12 16:00:00,323
u0,2013-04-12 17:00:00,0
u0,2013-04-12 18:00:00,0
u0,2013-04-12 19:00:00,0
u0,2013-04-12 20:00:00,0
u0,2013-04-12 21:00:00,2350
u0,2013-04-12 22:00:00,2420
u0,2013-04-12 23:00:00,1958
u0,2013-04-13 00:00:00,4205
u0,2013-04-13 01:00:00,0
u0,2013-04-13 02:00:00,7429
u0,2013-04-13 03:00:00,0
u0,2013-04-13 04:00:00,0
u0,2013-04-13 05:00:00,0
u0,2013-04-13 06:00:00,0
u0,2013-04-13 07:00:00,0
u0,2013-04-13 08:00:00,0
u0,2013-04-13 09:00:00,0
u0,2013-04-13 10:00:00,0
u0,2013-04-13 11:00:00,0
u0,2013-04-13 12:00:00,0
u0,2013-04-13 13:00:00,0
u0,2013-04-13 14:00:00,0
u0,2013-04-13 15:00:00,1997
u0,2013-04-13 16:00:00,2765
u0,2013-04-13 17:00:00,2834
u0,2013-04-13 18:00:00,2429
u0,2013-04-13 19:00:00,1302
u0,2013-04-13 20:00:00,271
u0,2013-04-13 21:00:00,3085
u0,2013-04-13 22:00:00,61
u0,2013-04-13 23:00:00,343
u0,2013-04-14 00:00:00,645
u0,2013-04-14 01:00:00,60
u0,2013-04-14 02:00:00,121
u0,2013-04-14 03:00:00,2683
u0,2013-04-14 04:00:00,988
u0,2013-04-14 05:00:00,182
u0,2013-04-14 06:00:00,0
u0,2013-04-14 07:00:00,0
u0,2013-04-14 08:00:00,0
u0,2013-04-14 09:00:00,0
u0,2013-04-14 10:00:00,0
u0,2013-04-14 11:00:00,0
u0,2013-04-14 12:00:00,0
u0,2013-04-14 13:00:00,0
u0,2013-04-14 14:00:00,0
u0,2013-04-14 15:00:00,182
u0,2013-04-14 16:00:00,6646
u0,2013-04-14 17:00:00,0
u0,2013-04-14 18:00:00,1684
u0,2013-04-14 19:00:00,2614
u0,2013-04-14 20:00:00,3309
u0,2013-04-14 21:00:00,3177
u0,2013-04-14 22:00:00,0
u0,2013-04-14 23:00:00,1705
u0,2013-04-15 00:00:00,1595
u0,2013-04-15 01:00:00,1170
u0,2013-04-15 02:00:00,61
u0,2013-04-15 03:00:00,0
u0,2013-04-15 04:00:00,0
u0,2013-04-15 05:00:00,0
u0,2013-04-15 06:00:00,444
u0,2013-04-15 07:00:00,0
u0,2013-04-15 08:00:00,0
u0,2013-04-15 09:00:00,0
u0,2013-04-15 10:00:00,0
u0,2013-04-15 11:00:00,0
u0,2013-04-15 12:00:00,0
u0,2013-04-15 13:00:00,463
u0,2013-04-15 14:00:00,3445
u0,2013-04-15 15:00:00,4125
u0,2013-04-15 16:00:00,756
u0,2013-04-15 17:00:00,614
u0,2013-04-15 18:00:00,2048
u0,2013-04-15 19:00:00,1018
u0,2013-04-15 20:00:00,948
u0,2013-04-15 21:00:00,2502
u0,2013-04-15 22:00:00,2721
u0,2013-04-15 23:00:00,2320
u0,2013-04-16 00:00:00,293
u0,2013-04-16 01:00:00,0
u0,2013-04-16 02:00:00,2178
u0,2013-04-16 03:00:00,3269
u0,2013-04-16 04:00:00,3198
u0,2013-04-16 05:00:00,474
u0,2013-04-16 06:00:00,0
u0,2013-04-16 07:00:00,0
u0,2013-04-16 08:00:00,0
u0,2013-04-16 09:00:00,0
u0,2013-04-16 10:00:00,0
u0,2013-04-16 11:00:00,0
u0,2013-04-16 12:00:00,0
u0,2013-04-16 13:00:00,0
u0,2013-04-16 14:00:00,0
u0,2013-04-16 15:00:00,3398
u0,2013-04-16 16:00:00,291
u0,2013-04-16 17:00:00,6202
u0,2013-04-16 18:00:00,0
u0,2013-04-16 19:00:00,665
u0,2013-04-16 20:00:00,2489
u0,2013-04-16 21:00:00,5808
u0,2013-04-16 22:00:00,0
u0,2013-04-16 23:00:00,0
u0,2013-04-17 00:00:00,7150
u0,2013-04-17 01:00:00,0
u0,2013-04-17 02:00:00,377
u0,2013-04-17 03:00:00,2469
u0,2013-04-17 04:00:00,898
u0,2013-04-17 05:00:00,0
